"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","latitude","longitude","seq_method"
"mgm4496433",243033421,495436,0.527374391037588,227785816,227785816,459.768397936363,512,511,50,1127,"host-associated","terrestrial","human_host-associated","saliva","Switzerland",46.19,6.15,"454"
"mgm4496841",14903331,39669,0.469907385143676,13724364,13724364,345.972018452696,470,388,50,757,"free-living","terrestrial","soil","meadow_soil","French Republic",45.05,6.38,"454"
"mgm4503259",35584462,77978,0.521308869706152,33256175,33256175,426.481507604709,489,464,60,842,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503260",26628323,54704,0.44563662286117,24998309,24998309,456.974060397777,533,492,60,863,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503261",20087458,43317,0.58549637271545,18799049,18799049,433.987787704596,483,468,60,718,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503262",26861709,58451,0.591075701398348,25119285,25119285,429.749448255804,490,470,60,831,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503268",22084864,48764,0.63686027998769,20633050,20633050,423.120539742433,490,471,60,705,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503275",16412339,36194,0.540024091083202,15337625,15337625,423.76153506106,490,459,60,705,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503285",62611900,134718,0.381804009770313,58546745,58546745,434.587397378227,482,467,60,752,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503286",5997739,13944,0.629579860794342,5590290,5590290,400.910068846816,458,436,60,917,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4516541",315659885,652417,0.460034549132662,295546059,295546059,453.001774938421,431,432,100,1101,"host-associated","marine","animal_host-associated","coral","Brazil",-23.8436111111111,-45.1669444444444,"454"
"mgm4516694",337809609,707209,0.452825886268479,315996599,315996599,446.82208371217,457,439,100,1092,"host-associated","marine","animal_host-associated","coral","Brazil",-23.8436111111111,-45.1669444444444,"454"
"mgm4520107",44378517,90413,0.458245038875393,42841496,42841496,473.842212956101,509,487,50,758,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520108",66966116,136290,0.472074760539135,64649186,64649186,474.350179763739,511,488,50,792,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520109",26090435,53580,0.503519856868116,25179575,25179575,469.943542366555,510,493,50,833,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520110",48740649,101819,0.453606111211965,47009726,47009726,461.698955990532,423,476,50,800,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520111",73030548,144585,0.458287559550553,70572603,70572603,488.104595912439,517,499,50,809,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520113",21083211,42977,0.491645097761947,20352602,20352602,473.569630267352,515,499,50,725,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520114",85124932,180875,0.506287289964954,82050057,82050057,453.628511402903,423,467,50,728,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520115",38246338,76963,0.457322326374919,36937967,36937967,479.944479814976,513,493,50,725,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520116",58452668,147042,0.454248724741146,55952954,55952954,380.523619102025,516,422,50,785,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520117",108214480,217039,0.467725353683231,104524817,104524817,481.59463045812,515,495,50,815,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520118",32188368,65628,0.481842609581429,31072692,31072692,473.466995794478,510,486,50,778,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520119",50798759,103101,0.465719048236349,49046042,49046042,475.708693417135,507,488,50,720,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520120",52081573,105386,0.475084962697662,50290011,50290011,477.198214184047,510,490,50,738,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520121",45142476,89483,0.503405644013304,43621265,43621265,487.481029916297,513,498,52,758,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520122",26554965,55160,0.522764137985954,25617245,25617245,464.417059463379,506,489,50,796,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520123",43993430,91811,0.463008797260166,42432643,42432643,462.173846271144,423,476,50,743,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520124",38638192,78922,0.457340763017073,37296518,37296518,472.574415245432,423,486,50,714,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520125",36542504,76764,0.459938748236397,35237516,35237516,459.03699650878,517,485,50,710,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520126",58721674,115656,0.457709824252872,56755522,56755522,490.727000760877,514,502,50,741,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520127",57787895,115236,0.450527802965358,55828883,55828883,484.474322260405,523,498,50,743,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520128",27141859,56203,0.518994166744824,26186408,26186408,465.925448819458,508,493,50,744,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520129",46003980,92766,0.469742717923653,44426958,44426958,478.914235819158,514,492,50,729,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520130",41922978,85089,0.462863715989032,40476465,40476465,475.695624581321,514,489,51,730,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4524574",33092380,30274,0.438674306961775,32195266,32195266,1063.46257514699,1154,1127,271,1878,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525093",22377892,21774,0.489153066775857,21735775,21735775,998.244465876734,1151,1044,279,1345,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525311",31402123,29314,0.47970657573096,30533807,30533807,1041.6117554752,1016,1037,319,1526,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525312",44838529,44016,0.506776343660994,43529153,43529153,988.939317520902,1016,1028,233,1471,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525314",21943801,21622,0.531969736195643,21306244,21306244,985.39654056054,1009,1009,100,1788,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525315",47509716,43142,0.534103782200185,46226559,46226559,1071.49782114876,1138,1112,144,1366,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525317",36373277,33047,0.496594055356359,35392971,35392971,1070.98892486459,1120,1085,234,1366,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525322",36373277,33047,0.496594055356359,35392971,35392971,1070.98892486459,1120,1085,234,1366,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525323",30486170,27765,0.516084726833963,29664321,29664321,1068.40702323069,1108,1094,127,1600,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525324",40539257,38940,0.477552932596892,39382160,39382160,1011.35490498202,1009,1018,318,1382,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525325",51087909,49571,0.568850992055634,49611885,49611885,1000.82477658308,935,946,272,1469,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4525341",211472549,282583,0.508508643869773,202823567,202823567,717.748650838869,800,768,50,950,"host-associated","marine","animal_host-associated","sea_worm","Italy",42.807838,10.143549,"sanger"
"mgm4525701",17233874,15230,0.558769707957653,16788079,16788079,1102.30328299409,1112,1108,222,1461,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4529719",27264803,55831,0.405281040255513,25600941,25600941,458.543479428991,496,415,53,20566,"free-living","freshwater","freshwater","hot_spring","USA",44.753611,-110.723611,"454"
"mgm4530050",95876711,83248,0.630869709413423,93390377,93390377,1121.83328128003,502,827,440,20028,"free-living","terrestrial","soil","permafrost","Canada",79.415,-90.7583333333,"illumina"
"mgm4530144",97210291,157356,0.432625425990574,92443360,92443360,587.479091995221,201,369,200,39081,"free-living","freshwater","freshwater","hot_spring","China",26.257222,99.990278,"illumina"
"mgm4530252",262458294,670669,0.50797487201119,241778363,241778363,360.503263159621,489,397,50,1462,"host-associated","marine","animal_host-associated","sponge","Australia",-33.983333,151.233333,"454"
"mgm4530253",512486518,1161744,0.513645057173365,476420796,476420796,410.091032103458,508,466,50,1134,"host-associated","marine","animal_host-associated","sponge","Australia",-33.983333,151.233333,"454"
"mgm4530254",559658291,1311661,0.493734912234129,518794089,518794089,395.524521198694,502,450,50,993,"host-associated","marine","animal_host-associated","sponge","Australia",-33.983333,151.233333,"454"
"mgm4530290",237541117,579817,0.590483175424198,219677812,219677812,378.874389678123,503,418,50,975,"host-associated","marine","animal_host-associated","sponge","Australia",-18.816667,147.633333,"454"
"mgm4530291",223852372,514489,0.598110329762137,208013754,208013754,404.311373032271,509,466,50,916,"host-associated","marine","animal_host-associated","sponge","Australia",-18.816667,147.633333,"454"
"mgm4530370",223764235,429703,0.469575267055214,210554305,210554305,489.999616013851,502,501,64,2044,"host-associated","marine","animal_host-associated","sponge","Australia",-18.816667,147.633333,"454"
"mgm4530372",186456103,440698,0.459903393678913,172905456,172905456,392.344544336484,493,411,64,1196,"host-associated","marine","animal_host-associated","sponge","Australia",-18.816667,147.633333,"454"
"mgm4530373",261462445,510703,0.552499218538634,245741515,245741515,481.182830333873,492,505,50,1196,"host-associated","marine","animal_host-associated","sponge","Australia",-33.983333,151.233333,"454"
"mgm4530427",374109157,888866,0.522077807367162,346665245,346665245,390.008443342416,490,436,50,1521,"host-associated","marine","animal_host-associated","sponge","Australia",-18.816667,147.633333,"454"
"mgm4530428",348033640,892683,0.540524180180352,320471369,320471369,358.997952240605,494,403,50,907,"host-associated","marine","animal_host-associated","sponge","Australia",-18.816667,147.633333,"454"
"mgm4530429",270952439,859046,0.470943121356439,244432552,244432552,284.539538045693,56,286,50,916,"host-associated","marine","animal_host-associated","sponge","Australia",-18.816667,147.633333,"454"
"mgm4530430",280618928,540493,0.487243217950888,263974644,263974644,488.396045832231,519,501,64,2044,"host-associated","marine","animal_host-associated","sponge","Australia",-33.983333,151.233333,"454"
"mgm4530431",268779030,523633,0.485838008004866,252657324,252657324,482.508405696356,511,505,64,1196,"host-associated","marine","animal_host-associated","sponge","Australia",-33.983333,151.233333,"454"
"mgm4530432",285739130,532862,0.463847171134598,269331372,269331372,505.443007758106,511,507,64,1196,"host-associated","marine","animal_host-associated","sponge","Australia",-33.983333,151.233333,"454"
"mgm4530477",249991612,677562,0.383927245422112,229098216,229098216,338.121405863965,449,365,50,2039,"free-living","marine","saline_water","oceanic_seawater","Australia",-33.983333,151.233333,"454"
"mgm4530478",422850416,1047017,0.485997223324174,390456095,390456095,372.922402406074,485,403,50,966,"free-living","marine","saline_water","oceanic_seawater","Australia",-33.983333,151.233333,"454"
"mgm4530711",17233874,15230,0.558769707957653,16788079,16788079,1102.30328299409,1112,1108,222,1461,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4530717",35179479,31877,0.467587731885661,34234275,34234275,1073.94908554757,1096,1089,128,1939,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4535523",2363963,7964,0.507870080760229,2134095,2134095,267.967729784028,200,240,200,2958,"host-associated","terrestrial","animal_host-associated","animal_feces","USA",14.7897,-87.5997,"illumina"
"mgm4536624",35179479,31877,0.467587731885661,34234275,34234275,1073.94908554757,1096,1089,128,1939,"host-associated","terrestrial","human_host-associated","human-gut","Japan",35.490139,139.683694,"sanger"
"mgm4539290",368237264,594465,0.466594508205661,349919695,349919695,588.629599724122,604,605,100,1036,"free-living","marine","saline_water","coastal_seawater","Brazil",-22.975369,-42.013012,"454"
"mgm4539291",292803022,466041,0.435466060909345,278464429,278464429,597.510581687019,685,639,100,1343,"free-living","marine","saline_water","coastal_seawater","Brazil",-22.975369,-42.013012,"454"
"mgm4544115",386982189,586965,0.650227085491071,368897192,368897192,628.482434216691,802,678,50,1472,"free-living","terrestrial","soil","compost","France",48.807,21.37,"454"
"mgm4544116",400528018,553681,0.651643529331434,383474872,383474872,692.591712556508,880,767,50,1761,"free-living","terrestrial","soil","compost","France",48.807,21.37,"454"
"mgm4544117",463095752,631595,0.546654289158297,443627250,443627250,702.391960037682,888,761,50,1382,"free-living","terrestrial","soil","compost","France",48.807,21.37,"454"
"mgm4544118",481661478,636279,0.539804431237151,462047715,462047715,726.17156153197,905,792,50,1199,"free-living","terrestrial","soil","compost","France",48.807,21.37,"454"
"mgm4544122",148022389,146751,0.505203438286101,145527622,145527622,991.663579805248,1000,1002,51,1706,"free-living","freshwater","wastewater","sludge","Netherlands",52.0115769,4.3570677,"454"
"mgm4544453",86986717,189384,0.485197702403131,81226782,81226782,428.899917627677,454,405,50,17255,"free-living","freshwater","freshwater","hot_spring","Russia",54.498889,159.991944,"454"
"mgm4547679",161933712,403974,0.499979041203279,155066154,155066154,383.851817196156,461,400,84,952,"free-living","marine","saline_water","oceanic_seawater","Pacific Ocean",-12.494833,-4.998667,"454"
"mgm4547780",220199265,216683,0.501350692176742,216515654,216515654,999.22769206629,1016,1009,51,1632,"free-living","freshwater","wastewater","sludge","Netherlands",52.108739,6.080888,"454"
"mgm4563526",64582185,158138,0.552967105884291,56369778,56369778,356.459408870733,314,311,141,607,"free-living","marine","sediment","coastal_marine_sediment","Finland",60.1638,21.24347,"illumina"
"mgm4565980",319257179,777508,0.549784389882563,278940528,278940528,358.76226096709,314,312,141,607,"free-living","marine","sediment","coastal_marine_sediment","Finland",60.267726,21.407676,"illumina"
"mgm4565982",279381265,651663,0.506008688414796,245694301,245694301,377.026624190724,314,314,130,607,"free-living","marine","sediment","coastal_marine_sediment","Finland",60.267726,21.407676,"illumina"
"mgm4565983",507876289,1163669,0.507893066355005,447836600,447836600,384.848784319252,314,314,112,607,"free-living","marine","sediment","coastal_marine_sediment","Finland",60.267726,21.407676,"illumina"
"mgm4565984",55219992,127048,0.499642601594035,48655785,48655785,382.971672123922,314,314,141,607,"free-living","marine","sediment","coastal_marine_sediment","Finland",60.267726,21.407676,"illumina"
"mgm4573350",26800161,67912,0.482700629259824,23604558,23604558,347.575656732242,306,326,60,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573351",117354280,316832,0.525851378733596,102472697,102472697,323.429126477124,305,306,51,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573352",142469092,372775,0.487437401040966,124979115,124979115,335.266890215277,305,318,51,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573353",30513893,84312,0.485508627519166,26548072,26548072,314.878925894297,305,305,52,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573354",2381747,6235,0.505783633316833,2086837,2086837,334.697193263833,305,313,94,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573355",19827267,67740,0.514696558874437,16643624,16643624,245.698612341305,305,253,50,601,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573356",37130856,114989,0.493551129278735,31733618,31733618,275.970901564497,305,286,50,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573495",270176882,835945,0.51062599066726,230951031,230951031,276.275390127341,305,285,50,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573496",30546445,81403,0.491140382517171,26715036,26715036,328.182450278245,305,307,50,603,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573497",253677934,651761,0.481764899091981,223125527,223125527,342.342556550637,306,326,53,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4573676",60408530,156121,0.521586794309662,53062580,53062580,339.881117850898,306,317,50,604,"free-living","marine","saline_water","marine_biofilm","United States of America",32.731993,-117.211432,"illumina"
"mgm4573677",35899785,93972,0.53174058659873,31476986,31476986,334.961328906483,306,312,67,604,"free-living","marine","saline_water","marine_biofilm","United States of America",32.731993,-117.211432,"illumina"
"mgm4573950",51057369,156889,0.470881574724197,43706244,43706244,278.58067805901,305,287,50,604,"free-living","marine","saline_water","coastal_seawater","United States of America",32.731993,-117.211432,"illumina"
"mgm4576679",12350221,31905,0.446515168840024,11404168,11404168,357.441404168626,202,284,200,4312,"free-living","freshwater","wastewater","sludge","USA",42.7369792,-84.4838654,"illumina"
"mgm4587466",232335832,635886,0.612545439870735,212734430,212734430,334.548063646628,408,358,50,728,"free-living","terrestrial","soil","compost","Brazil",-23.651079,-46.620668,"454"
"mgm4587467",243171931,661657,0.612754294764527,222771643,222771643,336.687502739335,424,360,50,739,"free-living","terrestrial","soil","compost","Brazil",-23.651079,-46.620668,"454"
"mgm4587468",333533188,914401,0.606085097991591,305297828,305297828,333.877399521654,408,356,50,719,"free-living","terrestrial","soil","compost","Brazil",-23.651079,-46.620668,"454"
"mgm4601010",8185661,26885,0.413857847204083,7388810,7388810,274.830202715269,304,288,50,910,"host-associated","terrestrial","human_host-associated","human_feces","USA",34.0752969,-118.3805177,"454"
"mgm4601022",5947020,23028,0.480350785514421,5262475,5262475,228.525056453014,203,216,50,724,"host-associated","terrestrial","human_host-associated","human_feces","USA",34.0752969,-118.3805177,"454"
"mgm4601897",58812706,164732,0.462564113198409,53817117,53817117,326.694977296457,201,272,200,1096,"free-living","marine","saline_water","polar_seawater","Southern Ocean",-65.27,118.98,"illumina"
"mgm4601898",22068282,65821,0.418908996566882,20104758,20104758,305.44595189985,201,255,200,1144,"free-living","marine","saline_water","polar_seawater","Southern Ocean",-65.27,118.98,"illumina"
"mgm4603086",34368429,103444,0.525184308928734,31272766,31272766,302.31590039055,240,257,126,4480,"free-living","terrestrial","soil","agricultural_soil","China",26.647661,106.630154,"illumina"
"mgm4606757",2655693638,7915851,0.600074388995787,2273325486,2273325486,287.18649277254,304,295,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.010278,-81.150528,"illumina"
"mgm4606758",2337866596,7021642,0.556805614364184,1999118481,1999118481,284.708118272051,304,296,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015222,-81.150917,"illumina"
"mgm4606759",2858448522,8897846,0.55756772900119,2430203083,2430203083,273.122627993337,304,293,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015222,-81.150917,"illumina"
"mgm4606760",2091360058,6461046,0.623571848168287,1779507398,1779507398,275.42094546301,304,293,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015222,-81.153083,"illumina"
"mgm4606761",3719221667,11051488,0.604697750690832,3185554659,3185554659,288.246674022539,304,296,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.014944,-81.152361,"illumina"
"mgm4606762",1056590636,3393649,0.553484043182096,893482152,893482152,263.280661022987,304,290,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015194,-81.151833,"illumina"
"mgm4614547",308991923,929122,0.630921341968473,264090705,264090705,284.236844031247,304,297,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.010278,-81.150528,"illumina"
"mgm4614548",597178370,1791670,0.588365519935112,510631104,510631104,285.002876645811,304,298,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015222,-81.150917,"illumina"
"mgm4614549",509731478,1576998,0.57651757148019,433699291,433699291,275.015752080852,304,296,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015222,-81.150917,"illumina"
"mgm4614550",136008020,411542,0.657955813703553,116122880,116122880,282.165319700055,304,295,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015222,-81.153083,"illumina"
"mgm4614551",528334955,1566678,0.633999891906912,452572880,452572880,288.874216654603,304,297,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.014944,-81.152361,"illumina"
"mgm4614552",414888276,1325542,0.567418930042629,351094455,351094455,264.868600919473,304,295,50,602,"free-living","freshwater","sediment","river_sediment","USA",38.015194,-81.151833,"illumina"
"mgm4631155",42939523,10703,0.528835040885617,42629539,42629539,3982.95234980847,3545,3677,302,16525,"free-living","freshwater","freshwater","river","USA",37.544717,-77.454775,"ion torrent"
"mgm4635906",2079850203,5652750,0.599180616811591,1809981973,1809981973,320.194944584494,304,303,50,602,"free-living","freshwater","wastewater","sewage","USA",38.010278,-81.150528,"illumina"
"mgm4635907",1164407480,3214986,0.548856312490618,1011979619,1011979619,314.769525901512,304,303,50,602,"free-living","freshwater","wastewater","sewage","USA",38.015222,-81.150917,"illumina"
"mgm4635908",1844153416,5508465,0.561506576123223,1583835057,1583835057,287.527479433926,304,296,50,602,"free-living","freshwater","wastewater","sewage","USA",38.015222,-81.150917,"illumina"
"mgm4635909",2921762259,8461116,0.617973570864732,2516279149,2516279149,297.393292917861,304,300,50,602,"free-living","freshwater","wastewater","sewage","USA",38.015222,-81.153083,"illumina"
"mgm4635910",2448136740,6581584,0.597121117848536,2135208486,2135208486,324.421672047337,304,303,50,602,"free-living","freshwater","wastewater","sewage","USA",38.014944,-81.152361,"illumina"
"mgm4641382",30470752,13310,0.488192593196363,30082558,30082558,2260.14710743802,643,1594.5,155,20843,"free-living","freshwater","freshwater","river","USA",37.527941,-77.436144,"ion torrent"
"mgm4653307",21703808,40587,0.484875959272685,20497300,20497300,505.021312242836,533,543,50,1264,"host-associated","marine","animal_host-associated","coral","India",11.998,92.96,"454"
"mgm4706424",289837979,578562,0.664518991219451,280002425,280002425,483.962695441457,423,495,50,754,"host-associated","terrestrial","plant_associated","plant-associated","Japan",38.2737,141.533,"454"
"mgm4706425",318188477,617517,0.663163816644331,307690688,307690688,498.270797403148,512,507,50,825,"host-associated","terrestrial","plant_associated","plant-associated","Japan",38.2737,141.533,"454"
"mgm4711612",131703754,155865,0.571525034194314,126981638,126981638,814.689879062009,368,530,300,7463,"free-living","freshwater","wastewater","sludge","China",39.9075,116.3972,"illumina"
